year,seed,champ,strongest,corr,spread,mean,champ_strength_rank
2021,0,2,2,0.31787443050637876,40.71805388778284,1986.4167945940615,0
2021,1,3,2,-0.08472325644265848,31.915874776863085,1989.1960739764943,5
2021,2,2,5,0.23264977628062575,54.54065114046535,1987.8420378664975,10
2021,3,5,2,-0.6744003241744134,42.117368602714414,1997.4872149807486,6
2021,4,6,1,0.1861984791862372,51.91631595512811,1999.5168701683863,8
2021,5,5,0,0.5795408728796562,55.89097955345138,1975.1163517271214,4
2021,6,3,4,-0.19633446262036075,43.47586460396078,1994.459072579047,8
2021,7,4,1,-0.08783219242463544,35.700118778340546,1991.6297269640863,4
2021,8,4,2,0.5307609624354667,50.93850941185831,1997.9746739909917,1
2021,9,6,3,-0.4936076440823964,57.492391373704244,1987.3109538794308,6
2021,10,5,5,0.5072728517481514,46.41029562360905,1989.5140842163994,0
2021,11,9,2,-0.40528986003552764,42.59563787009648,1991.5662725616205,6
2021,12,0,0,0.27006820117004476,43.72001973525482,1981.7632910499085,0
2021,13,3,2,-0.08209424573014877,46.00545555367209,1982.8312870273205,7
2021,14,0,3,-0.6596308708026307,45.640209804650894,1986.4759528616387,8
2021,15,9,6,0.1765511381879176,38.55423123479968,1986.5989240283534,11
2021,16,2,8,0.28823843586199127,42.93139266257645,1985.9672966185135,3
2021,17,8,1,0.515602152866033,62.19114055806713,1977.9470887699697,4
2021,18,11,2,0.0047365612874266366,48.617733561493424,2000.5147753591427,5
2021,19,7,7,0.07191302996583154,36.216286449928404,1997.6712571804921,0
2021,20,6,0,0.2803818553156013,45.13221680010304,1980.9767782836095,6
2021,21,5,3,-0.3496064172218305,34.999558528356935,1980.5390305779763,10
2021,22,6,0,-0.15309641792124737,40.3462031086332,1982.9026048735595,9
2021,23,11,0,0.19747577870332134,48.621734597729315,1986.4261410157076,6
2021,24,6,2,0.2116332398841092,40.4979515003865,1988.1481879509902,7
2021,25,2,1,0.6130768294236821,32.27293162748773,1985.8706536757309,1
2021,26,0,3,-0.113306782552475,54.96275383641823,1991.2910675218225,9
2021,27,8,1,0.09650660351264581,55.810996930704356,1994.6278792230662,1
2021,28,6,6,-0.18580373857690055,50.396594919529335,1997.4052530826448,0
2021,29,10,7,0.28063743109427886,42.480573978702964,1985.6713374415497,6
2021,30,9,2,-0.24623920917122277,43.86047156531378,1987.1282326392768,10
2021,31,11,10,0.11428221032060008,25.858303858129588,1988.0455897886075,11
2021,32,8,3,-0.6650299573678686,38.75288004837726,1992.2493062270278,3
2021,33,3,2,-0.37460928090236373,26.592310849359666,1987.4837660603127,4
2021,34,10,0,-0.013425858174469169,55.227301168000864,1992.428547302803,7
2021,35,4,0,0.48791370041483106,50.836580133522894,1996.4078651827251,3
2021,36,4,2,-0.26793696712254067,39.141750926578396,1993.54055177399,10
2021,37,11,8,-0.14593830128266305,44.40498880613716,1988.4628840764399,8
2021,38,5,3,0.3973846002288999,47.47233692093498,1988.0773548976774,7
2021,39,4,0,0.1833854537918766,67.51793867219452,1987.5324857860096,11
2021,40,0,5,-0.38021895867922545,22.127129420309718,1983.2967292178616,11
2021,41,8,3,0.04759934574521107,46.39148327928773,1993.640670085807,8
2021,42,4,0,0.30592165319243136,56.781876463673605,1981.6187645919588,2
2021,43,9,1,0.38555022868734123,39.35443282467294,1995.8319829645213,2
2021,44,5,0,0.3316975383434067,43.22100967846739,1992.4029330154133,2
2021,45,7,4,-0.08159562072247283,44.42655862364627,1998.2729742586143,11
2021,46,1,1,0.36859006113020054,55.42382283909239,1985.8901727394075,0
2021,47,7,0,-0.023967740907214853,36.698371366953744,1993.2460143497985,9
2021,48,6,3,0.2047844765438381,70.86730906856364,1983.1166875125639,11
2021,49,1,0,-0.01729444016722415,34.76771998083428,1990.9851482586812,2
2021,50,11,1,0.48931872035058943,64.953597224458,1984.7508825336197,7
2021,51,4,0,0.1598454672473775,65.26776568243899,1988.9184165590152,1
2021,52,4,2,0.30312909380670944,33.47767123023279,1978.94606908481,1
2021,53,7,2,-0.25901286641889854,63.97210255830791,1993.314711782413,9
2021,54,4,2,-0.6456636865814631,52.762173377083954,1988.646664000172,1
2021,55,10,6,0.5502151595642206,67.56445599063976,1989.524578157679,7
2021,56,7,0,-0.2675245297955073,44.015802895029175,2000.7482785319287,5
2021,57,6,0,0.2792344037948203,65.99124424628762,1987.8938457775748,8
2021,58,8,3,-0.025679816739000896,37.97312828929534,1995.6356051913408,3
2021,59,2,0,0.054312263424359956,55.95441157975371,1995.938895955066,4
2022,0,3,1,0.11663445275845664,35.76214933150638,2049.330534158677,5
2022,1,1,4,-0.016079438987497138,62.39337247597822,2037.5240608245256,3
2022,2,7,3,-0.049203447686953235,57.09388150475194,2039.5099274416355,11
2022,3,6,0,0.12206417625238578,53.789673499445705,2043.5770205537358,4
2022,4,10,10,0.36407277911886227,42.079277406011826,2044.1666243959874,0
2022,5,6,0,0.3585496066142168,34.97145832336607,2045.216560351445,5
2022,6,0,2,0.2848487405980036,53.24641002447081,2050.9601292231514,11
2022,7,8,2,0.11669913690543968,67.84208366368837,2038.6284871002488,3
2022,8,5,5,0.09150936663240469,58.15524156146166,2048.941442290808,0
2022,9,2,2,0.5586229004264253,50.71418787485691,2037.6562600592952,0
2022,10,6,1,0.4261315238741653,66.7305241213125,2048.594873985874,1
2022,11,2,1,0.29799776654125976,46.40910447048007,2042.99772685545,1
2022,12,10,2,0.00033873123887470587,42.444128227358114,2046.5201988269655,4
2022,13,0,3,-0.32169264758617677,55.3554084003851,2033.45028824432,6
2022,14,1,11,0.01643294572832149,61.27651145381741,2051.2396631019856,8
2022,15,0,3,0.3713790597467982,44.199010329695895,2047.5295976792765,4
2022,16,8,7,0.4849460370357799,56.234600839316805,2042.6063732277087,5
2022,17,3,0,0.29834446533913866,58.4280254546836,2034.0987659181737,7
2022,18,3,3,-0.2769695362793561,42.42221807756775,2042.6487972911355,0
2022,19,9,2,-0.1454247713613283,48.37235838873917,2037.0127810149645,9
2022,20,9,0,0.4849924129583839,64.08430679007753,2036.3462962669826,1
2022,21,3,1,-0.04410093962271226,53.174677705242004,2033.270343450401,11
2022,22,1,4,-0.023468610437721076,49.68770416367204,2036.3429523060604,11
2022,23,2,7,0.3729990740518782,53.81182943842921,2034.0901956538637,3
2022,24,3,3,-0.032376496962926195,56.813199353867674,2045.772795397965,0
2022,25,0,1,0.18114334509734067,52.619247141326504,2033.2246243810098,7
2022,26,8,0,0.09857436223095024,59.33229025713244,2036.5127424256032,7
2022,27,0,11,-0.07386391675218675,65.68854861605008,2045.6180593628624,9
2022,28,11,9,-0.06400330854320224,31.79740248853111,2044.235626479667,7
2022,29,11,10,-0.02231144868150034,65.62279515531125,2028.6485528359487,3
2022,30,9,9,0.6255997738967296,54.71548227603133,2031.57503109426,0
2022,31,10,9,0.3615353553149932,52.00738611765234,2041.8889593560618,6
2022,32,9,0,-0.33053161559351374,43.73235326328756,2037.8750365000085,4
2022,33,10,7,-0.030855401388285224,47.67210097192725,2029.1116274827189,1
2022,34,9,5,0.14126278912952078,56.202045753646736,2022.748155480566,4
2022,35,1,7,0.8409931848089406,54.677176454999724,2031.0503770716966,2
2022,36,10,10,0.060105422530442404,54.60632063115871,2043.623896402205,0
2022,37,1,0,0.16215254105374902,65.19571558482912,2032.0156138402351,2
2022,38,10,7,-0.04785332659108347,43.61569584959814,2047.2657705987888,11
2022,39,9,3,-0.0306511802147626,57.6941266535061,2043.1729787530503,8
2022,40,5,1,0.36194816469274377,78.29515533205488,2038.4206432012443,11
2022,41,3,4,0.2582682164907518,65.6038684402164,2058.6642989656107,3
2022,42,7,9,-0.44167030690230713,60.731582922094034,2030.3478833897818,10
2022,43,8,1,0.022299365033310224,51.85932123874844,2039.3184383084424,5
2022,44,4,3,0.06889834548623198,47.06500580661986,2045.0456022316012,8
2022,45,6,4,0.5133474426439761,52.97456616692713,2033.1453483213345,2
2022,46,10,3,-0.11293160671480498,39.596485565594776,2032.032374811004,6
2022,47,7,8,0.04225774639513534,60.883407325165436,2047.9629905622612,3
2022,48,3,5,-0.15731678749558206,42.672204552275836,2048.9930219306143,6
2022,49,11,5,0.4281448654612861,34.45445129015171,2036.6943546020314,2
2022,50,11,3,-0.03790152004542256,50.380720700600946,2033.6962020028593,6
2022,51,7,10,-0.1982120266407474,34.61671746680241,2043.9621408390315,1
2022,52,5,3,0.3803508236369561,57.25662166524487,2050.456970033549,3
2022,53,11,0,-0.1499969495461512,51.108647222372255,2049.242075820311,7
2022,54,10,2,-0.12437660348142839,42.76178611553134,2035.6819415917887,6
2022,55,8,0,0.3339917534783381,66.2750209681382,2034.1270555713083,4
2022,56,6,8,-0.08962989369890295,52.15297391379831,2048.4753245820307,4
2022,57,2,10,0.15995079602335815,47.885786970902636,2039.5828187304708,10
2022,58,3,4,0.32072919617410284,40.616635945786214,2027.2147909135883,8
2022,59,4,4,0.3903738293410316,45.975407835968426,2045.2699181477255,0
2023,0,3,0,0.1765343798563797,56.71481859005226,2015.9752879055093,10
2023,1,8,4,-0.155036095175473,43.11270827062919,2030.778723474293,8
2023,2,11,11,0.547336287299945,27.805659104057256,2007.5607649651427,0
2023,3,10,5,-0.5221387843436311,40.41325611700442,2001.2298560226645,11
2023,4,3,6,-0.12272992431723316,50.07479508768012,2027.453644869158,2
2023,5,0,3,0.20062990880041992,56.75283967506308,2009.4364335219752,4
2023,6,4,3,0.5588776139294273,42.22493044608801,2013.5066118984826,7
2023,7,4,5,0.043577288724679634,57.796447474646044,2004.0193748099302,2
2023,8,8,4,-0.11057321826194472,45.54312692701018,2020.6261268943238,3
2023,9,11,2,-0.01675372924075161,51.78533998149848,2017.683857566534,2
2023,10,11,7,0.2332237444905096,54.744093626869365,2008.1297265755838,9
2023,11,2,2,0.6717788936953242,35.65165338433009,2012.7771898917663,0
2023,12,8,11,0.47304445367941916,50.52687470979536,2016.4127963102476,4
2023,13,5,4,0.2464472044094585,49.47977294520355,2011.5448124607599,8
2023,14,6,3,0.16639389997315154,46.37853294884261,2027.0403184121744,7
2023,15,6,6,0.30517518320473846,54.59465727336784,2013.2340237581122,0
2023,16,2,6,0.12997654874720715,23.944014078065557,2017.4330844360356,8
2023,17,5,1,0.036898070460646894,64.59682748600744,2012.0063044471271,6
2023,18,2,1,-0.43626931838286576,51.81050753465559,2021.2729077460056,10
2023,19,9,3,0.2530887605881545,48.678002708269815,2014.2555567398022,9
2023,20,5,4,0.27629852715779274,66.00473140379584,2022.992726729223,7
2023,21,1,0,0.3624528031298037,61.22994914187465,2010.4359977693439,2
2023,22,4,2,-0.11638735443548848,61.807551097803454,2019.4131500890198,2
2023,23,7,3,-0.003659215588873747,43.58372249074033,2023.610918561888,10
2023,24,1,11,0.4088563347383547,60.751732700948395,2023.009095459387,3
2023,25,4,3,0.09856107868816817,44.38995820417582,2013.703270355184,6
2023,26,8,1,0.42922569901642343,51.169324381788094,2006.7579689567654,10
2023,27,6,0,0.23987033838522948,56.22569133590137,2019.1425673487981,9
2023,28,0,11,-0.1833715574836601,52.07103623281507,2013.3825504320466,9
2023,29,8,3,0.511002782898224,46.93351046595039,2002.8836907637733,1
2023,30,6,2,-0.2711824556666755,57.46950168618587,2021.2873231155506,5
2023,31,4,1,0.7223202520584426,48.21832030336248,2019.0059354227972,2
2023,32,7,7,-0.3515810491597588,53.82796418785,2024.1808165565888,0
2023,33,9,0,-0.07381948036299481,45.40518386319798,2017.9994613799292,11
2023,34,8,4,-0.47472602213707393,50.292702306358,2012.8061090136769,9
2023,35,5,1,-0.012875508998771906,53.6008717061392,2028.3199139826793,6
2023,36,11,11,0.7259213247991285,50.452842049661754,2014.8163886715863,0
