season,week,team,pa
2025,15,CHI,3
2025,15,LA,34
2025,15,DEN,26
2025,15,SEA,16
2025,15,KC,16
2025,15,PHI,0
2025,15,PIT,15
2025,15,DAL,34
2025,15,JAX,20
2025,15,SF,24
2025,15,NYG,29
2025,16,ARI,26
2025,16,CLE,23
2025,16,MIA,45
2025,16,CHI,16
2025,16,DEN,34
2025,16,TEN,9
2025,16,DAL,34
2025,16,SEA,37
2025,16,HOU,21
2025,16,NYG,16
2025,16,BAL,28
2025,16,NO,6
2025,16,WAS,29
2025,16,DET,29
2025,16,IND,48
2025,16,CAR,20
2025,17,CIN,14
2025,17,GB,41
2025,17,SF,38
2025,17,WAS,30
2025,17,KC,20
2025,17,MIN,10
2025,17,LAC,20
2025,17,IND,23
2025,17,ATL,24
2025,17,NYJ,42
2025,17,TEN,34
2025,17,LV,34
2025,17,BUF,13
2025,17,CLE,6
2025,17,CAR,27
2025,17,MIA,17
2025,18,LA,20
2025,18,PIT,24
2025,18,TB,14
2025,18,CIN,20
2025,18,NYG,17
2025,18,CHI,19
2025,18,MIN,3
2025,18,HOU,30
2025,18,LV,12
2025,18,DEN,3
2025,18,NE,10
2025,18,ATL,17
2025,18,BUF,8
2025,18,SF,13
2025,18,JAX,7
2025,18,PHI,24
2025,1,ARI,13
2025,1,BAL,41
2025,1,CAR,26
2025,1,CIN,16
2025,1,DAL,24
2025,1,DET,27
2025,1,HOU,14
2025,1,KC,27
2025,1,LV,13
2025,1,MIA,33
2025,1,MIN,24
2025,1,NYG,21
2025,1,PIT,32
2025,1,SF,13
2025,1,TB,20
2025,1,TEN,20
2025,2,ATL,6
2025,2,BUF,10
2025,2,CAR,27
2025,2,CHI,52
2025,2,CLE,41
2025,2,DEN,29
2025,2,JAX,31
2025,2,LAC,9
2025,2,LA,19
2025,2,NE,27
2025,2,NYG,40
2025,2,PHI,17
2025,2,SEA,17
2025,2,SF,21
2025,2,TB,19
2025,2,WAS,27
2025,3,ARI,16
2025,3,ATL,30
2025,3,CIN,48
2025,3,DAL,31
2025,3,DEN,23
2025,3,DET,30
2025,3,GB,13
2025,3,HOU,17
2025,3,IND,20
2025,3,KC,9
2025,3,LA,33
2025,3,LV,41
2025,3,MIA,31
2025,3,NO,44
2025,3,NYJ,29
2025,3,PIT,14
2025,4,BAL,37
2025,4,CAR,42
2025,4,CHI,24
2025,4,CIN,28
2025,4,CLE,34
2025,4,GB,40
2025,4,IND,27
2025,4,JAX,21
2025,4,LAC,21
2025,4,MIN,24
2025,4,NO,31
2025,4,NYJ,27
2025,4,PHI,25
2025,4,SEA,20
2025,4,TEN,26
2025,4,WAS,34
2025,5,DAL,22
2025,5,DEN,17
2025,5,DET,24
2025,5,HOU,10
2025,5,KC,31
2025,5,LV,40
2025,5,MIA,27
2025,5,MIN,17
2025,5,NE,20
2025,5,NYG,26
2025,5,SF,23
2025,5,TB,35
2025,5,TEN,21
2025,5,WAS,10
2025,6,ARI,31
2025,6,BUF,24
2025,6,CHI,24
2025,6,CIN,27
2025,6,CLE,23
2025,6,DAL,30
2025,6,DEN,11
2025,6,DET,30
2025,6,LAC,27
2025,6,LA,3
2025,6,NE,19
2025,6,PHI,34
2025,6,SEA,12
2025,6,SF,30
2025,6,TEN,20
2025,7,ATL,20
2025,7,CAR,6
2025,7,GB,23
2025,7,HOU,27
2025,7,IND,24
2025,7,LA,7
2025,7,LV,31
2025,7,MIA,31
2025,7,NE,13
2025,7,NO,26
2025,7,NYG,33
2025,7,PHI,22
2025,7,PIT,33
2025,7,TB,24
2025,7,WAS,44
2025,8,BUF,9
2025,8,CHI,30
2025,8,CLE,32
2025,8,DAL,44
2025,8,GB,25
2025,8,MIA,10
2025,8,MIN,37
2025,8,NYG,38
2025,8,NYJ,38
2025,8,SF,26
2025,8,TB,3
2025,8,TEN,38
2025,8,WAS,28
2025,9,ARI,17
2025,9,ATL,24
2025,9,BAL,6
2025,9,CAR,13
2025,9,CHI,42
2025,9,DEN,15
2025,9,IND,27
2025,9,JAX,29
2025,9,KC,28
2025,9,LAC,20
2025,9,MIN,24
2025,9,NO,34
2025,9,SEA,14
2025,9,SF,24
2025,10,ARI,44
2025,10,ATL,31
2025,10,BAL,19
2025,10,BUF,30
2025,10,CLE,27
2025,10,DET,22
2025,10,JAX,36
2025,10,LA,26
2025,10,LV,10
2025,10,NE,23
2025,10,NO,7
2025,10,NYG,24
2025,10,PHI,7
2025,10,PIT,25
2025,11,BAL,16
2025,11,CAR,27
2025,11,CHI,17
2025,11,CIN,34
2025,11,DAL,16
2025,11,DET,16
2025,11,GB,20
2025,11,HOU,13
2025,11,KC,22
2025,11,LAC,35
2025,11,NYJ,27
2025,11,SEA,21
2025,11,SF,22
2025,11,TB,44
2025,11,WAS,16
2025,12,ATL,10
2025,12,BUF,23
2025,12,CAR,20
2025,12,CLE,10
2025,12,IND,23
2025,12,JAX,24
2025,12,MIN,23
2025,12,NE,20
2025,12,NYG,34
2025,12,NYJ,23
2025,12,PHI,24
2025,12,PIT,31
2025,12,SEA,24
2025,12,TB,34
2025,13,ARI,20
2025,13,ATL,27
2025,13,BUF,7
2025,13,CHI,15
2025,13,CIN,14
2025,13,DEN,26
2025,13,GB,24
2025,13,HOU,16
2025,13,JAX,3
2025,13,KC,31
2025,13,LA,31
2025,13,LV,31
2025,13,MIN,26
2025,13,NO,21
2025,13,NYG,33
2025,13,SF,8
2025,14,CHI,28
2025,14,CIN,39
2025,14,DAL,44
2025,14,DEN,17
2025,14,HOU,10
2025,14,IND,36
2025,14,LA,17
2025,14,MIA,10
2025,14,NO,20
2025,14,PHI,22
2025,14,PIT,22
2025,14,SEA,9
2025,14,TEN,29
2025,14,WAS,31
2025,15,ARI,40
2025,15,ATL,28
2025,15,BAL,0
2025,15,BUF,31
2025,15,CAR,20
2025,15,CLE,31
2025,15,DET,41
2025,15,GB,34
2025,15,IND,18
2025,15,LAC,13
2025,15,LV,31
2025,15,MIA,28
2025,15,MIN,26
2025,15,NYJ,48
2025,15,TEN,37
2025,15,WAS,21
2025,16,ATL,19
2025,16,BUF,20
2025,16,CIN,21
2025,16,GB,22
2025,16,JAX,20
2025,16,KC,26
2025,16,LAC,17
2025,16,LA,38
2025,16,LV,23
2025,16,MIN,13
2025,16,NE,24
2025,16,NYJ,29
2025,16,PHI,18
2025,16,PIT,24
2025,16,SF,27
2025,16,TB,23
2025,17,ARI,37
2025,17,BAL,24
2025,17,CHI,42
2025,17,DAL,23
2025,17,DEN,13
2025,17,DET,23
2025,17,HOU,16
2025,17,JAX,17
2025,17,LA,27
2025,17,NE,10
2025,17,NO,26
2025,17,NYG,10
2025,17,PHI,12
2025,17,PIT,13
2025,17,SEA,10
2025,17,TB,20
2025,18,ARI,37
2025,18,BAL,26
2025,18,CAR,16
2025,18,CLE,18
2025,18,DAL,34
2025,18,DET,16
2025,18,GB,16
2025,18,IND,38
2025,18,KC,14
2025,18,LAC,19
2025,18,MIA,38
2025,18,NO,19
2025,18,NYJ,35
2025,18,SEA,3
2025,18,TEN,41
2025,18,WAS,17
