season,week,team,pa
2023,18,WAS,38
2023,18,LV,14
2023,18,IND,23
2023,18,TEN,20
2023,18,LAC,13
2023,18,SF,21
2023,18,DET,20
2023,18,NE,17
2023,18,NYG,10
2023,18,BAL,17
2023,18,ARI,21
2023,18,CAR,9
2023,1,ARI,20
2023,1,BUF,22
2023,1,CAR,24
2023,1,CIN,24
2023,1,DAL,0
2023,1,DET,20
2023,1,GB,20
2023,1,HOU,25
2023,1,JAX,21
2023,1,LA,13
2023,1,LV,16
2023,1,MIA,34
2023,1,PHI,20
2023,1,SF,7
2023,1,TB,17
2023,1,TEN,16
2023,2,BAL,24
2023,2,CHI,27
2023,2,CLE,26
2023,2,GB,25
2023,2,IND,20
2023,2,KC,9
2023,2,LAC,27
2023,2,LV,38
2023,2,MIA,17
2023,2,MIN,34
2023,2,NO,17
2023,2,NYG,28
2023,2,NYJ,30
2023,2,SEA,31
2023,2,SF,23
2023,2,WAS,33
2023,3,ATL,20
2023,3,BUF,3
2023,3,CAR,37
2023,3,CHI,41
2023,3,DAL,28
2023,3,DEN,70
2023,3,HOU,17
2023,3,IND,19
2023,3,LAC,24
2023,3,LA,19
2023,3,NE,10
2023,3,NO,18
2023,3,NYG,30
2023,3,PHI,11
2023,3,PIT,18
2023,3,TEN,27
2023,4,ARI,35
2023,4,ATL,23
2023,4,BAL,3
2023,4,CIN,27
2023,4,DEN,28
2023,4,DET,20
2023,4,KC,20
2023,4,LA,23
2023,4,LV,24
2023,4,MIA,48
2023,4,MIN,13
2023,4,NE,38
2023,4,PIT,30
2023,4,SEA,3
2023,4,TB,9
2023,4,WAS,34
2023,5,BAL,17
2023,5,CAR,42
2023,5,CHI,20
2023,5,CIN,20
2023,5,DAL,42
2023,5,GB,17
2023,5,HOU,21
2023,5,JAX,20
2023,5,KC,20
2023,5,NO,0
2023,5,NYG,31
2023,5,NYJ,21
2023,5,PHI,14
2023,5,TEN,23
2023,6,ARI,26
2023,6,BAL,16
2023,6,CAR,42
2023,6,DAL,17
2023,6,DEN,19
2023,6,DET,6
2023,6,IND,37
2023,6,MIN,13
2023,6,NE,21
2023,6,NO,20
2023,6,NYG,14
2023,6,PHI,20
2023,6,SEA,17
2023,6,SF,19
2023,6,WAS,16
2023,7,ARI,20
2023,7,ATL,13
2023,7,BUF,29
2023,7,CLE,38
2023,7,DET,38
2023,7,GB,19
2023,7,JAX,24
2023,7,LAC,31
2023,7,LV,30
2023,7,MIA,31
2023,7,PIT,17
2023,7,SF,22
2023,7,WAS,14
2023,8,ATL,28
2023,8,BAL,24
2023,8,CHI,30
2023,8,CIN,17
2023,8,CLE,24
2023,8,HOU,15
2023,8,JAX,10
2023,8,KC,24
2023,8,LA,43
2023,8,LV,26
2023,8,MIN,10
2023,8,NE,31
2023,8,NO,27
2023,8,NYJ,10
2023,8,PHI,31
2023,8,TB,24
2023,9,ARI,27
2023,9,BUF,24
2023,9,CHI,24
2023,9,DAL,28
2023,9,IND,13
2023,9,LAC,6
2023,9,LA,20
2023,9,MIA,21
2023,9,MIN,28
2023,9,NYG,30
2023,9,SEA,37
2023,9,TB,39
2023,9,TEN,20
2023,9,WAS,17
2023,10,ATL,25
2023,10,CAR,16
2023,10,CLE,31
2023,10,DEN,22
2023,10,DET,38
2023,10,GB,23
2023,10,HOU,27
2023,10,IND,6
2023,10,NO,27
2023,10,NYG,49
2023,10,NYJ,16
2023,10,SF,3
2023,10,TEN,20
2023,10,WAS,29
2023,11,ARI,21
2023,11,CHI,31
2023,11,CIN,34
2023,11,DAL,10
2023,11,LAC,23
2023,11,LV,20
2023,11,MIN,21
2023,11,NYG,19
2023,11,NYJ,32
2023,11,PHI,17
2023,11,PIT,13
2023,11,SEA,17
2023,11,TB,27
2023,11,TEN,34
2023,12,BAL,10
2023,12,BUF,37
2023,12,CAR,17
2023,12,CHI,10
2023,12,CLE,29
2023,12,GB,22
2023,12,JAX,21
2023,12,KC,17
2023,12,LA,14
2023,12,MIA,13
2023,12,NE,10
2023,12,NO,24
2023,12,PIT,10
2023,12,SF,13
2023,12,TB,27
2023,12,WAS,45
2023,13,ARI,10
2023,13,ATL,8
2023,13,CAR,21
2023,13,CIN,31
2023,13,CLE,36
2023,13,DEN,22
2023,13,DET,28
2023,13,IND,28
2023,13,KC,27
2023,13,LAC,0
2023,13,MIA,15
2023,13,SEA,41
2023,13,SF,19
2023,14,BUF,17
2023,14,CAR,28
2023,14,DEN,7
2023,14,DET,28
2023,14,GB,24
2023,14,HOU,30
2023,14,IND,34
2023,14,JAX,31
2023,14,LA,37
2023,14,MIN,0
2023,14,NE,18
2023,14,PHI,33
2023,14,SEA,28
2023,14,TB,25
2023,14,TEN,27
2023,15,ATL,9
2023,15,BAL,7
2023,15,CHI,20
2023,15,DAL,31
2023,15,DEN,42
2023,15,HOU,16
2023,15,KC,17
2023,15,LAC,63
2023,15,MIN,27
2023,15,NYG,24
2023,15,NYJ,30
2023,15,PHI,20
2023,15,PIT,30
2023,15,SF,29
2023,15,TB,20
2023,15,WAS,28
2023,16,ARI,27
2023,16,BAL,19
2023,16,BUF,22
2023,16,CIN,34
2023,16,CLE,22
2023,16,DAL,22
2023,16,DET,24
2023,16,GB,30
2023,16,IND,29
2023,16,JAX,30
2023,16,LV,14
2023,16,NE,23
2023,16,NO,30
2023,16,NYG,33
2023,16,SEA,17
2023,16,WAS,30
2023,17,ARI,31
2023,17,ATL,37
2023,17,CAR,26
2023,17,CIN,25
2023,17,DET,20
2023,17,GB,10
2023,17,LAC,16
2023,17,LA,25
2023,17,LV,23
2023,17,MIA,56
2023,17,NE,27
2023,17,NO,13
2023,17,NYJ,37
2023,17,PIT,23
2023,17,SF,10
2023,17,TEN,26
2023,18,ATL,48
2023,18,BUF,14
2023,18,CHI,17
2023,18,CLE,31
2023,18,DAL,10
2023,18,DEN,27
2023,18,HOU,19
2023,18,JAX,28
2023,18,KC,12
2023,18,LA,20
2023,18,MIN,30
2023,18,NYJ,3
2023,18,PHI,27
2023,18,PIT,10
2023,18,SEA,20
2023,18,TB,0
2024,1,BUF,28
2024,1,KC,20
2024,1,NO,10
2024,1,CLE,33
2024,1,SEA,20
2024,1,PHI,29
2024,1,IND,29
2024,1,MIA,17
2024,1,DET,20
2024,1,LAC,10
2024,1,NYG,28
2024,1,CIN,16
2024,1,SF,19
2024,1,ATL,18
2024,1,CHI,17
2024,1,TB,20
2024,2,PHI,22
