world,policy,champ
full,MLV_VONA,0.19971428513526918
full,MLV,0.1922857105731964
full,ECR,0.15399999767541886
full,BPA,0.17999999821186066
shrunk,MLV_VONA,0.19199999868869783
shrunk,MLV,0.1771428555250168
shrunk,ECR,0.1502857103943825
shrunk,BPA,0.17228571474552154
no_ratio,MLV_VONA,0.18171428442001342
no_ratio,MLV,0.16771428287029266
no_ratio,ECR,0.1482857123017311
no_ratio,BPA,0.16457142531871796
