player_id,season,week,pass_td_40,pass_td_50,rec_td_40,rec_td_50,rush_td_40,rush_td_50,pick_six_thrown
00-0026498,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026498,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026498,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0026498,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0026625,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027061,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027061,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027061,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027061,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027656,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027656,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027656,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027685,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027685,2021,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027688,2021,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027688,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027696,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027696,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027696,2021,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027793,2021,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0027793,2021,5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
00-0027793,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027939,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027939,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027939,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027939,2021,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0027939,2021,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027942,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027942,2021,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00-0027942,2021,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027944,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027966,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027966,2021,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,11,2.0,1.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027973,2021,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00-0027981,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028002,2021,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028002,2021,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028002,2021,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028097,2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028118,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028118,2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028118,2021,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
