field,champ,se,wins
"opponents sharp, STANDARD values",0.10100000351667404,0.004764425537415446,7.146750450134277
"opponents sharp, YOUR scoring too",0.08525000512599945,0.004415383385166472,6.994750380516052
opponents just follow rankings,0.1915000081062317,0.00622149007476394,8.399250268936157
