additive,bench_base,champ,se
False,0.0,0.18928570672869682,0.008652886518951458
False,0.15,0.19107142835855484,0.006214181763038321
False,0.3,0.18785713985562325,0.005590171633550018
False,0.5,0.18964285403490067,0.005282211951110809
False,0.8,0.18071428313851357,0.011968282323285616
False,1.2,0.17714285850524902,0.012707462573232835
True,0.0,0.18928570672869682,0.008652886518951458
True,0.15,0.19357142597436905,0.006710103412521275
True,0.3,0.18892857059836388,0.008181222879765613
True,0.5,0.19107142835855484,0.0063962494170682034
True,0.8,0.18464285880327225,0.009992023426695203
True,1.2,0.18214285373687744,0.008183169257999825
