player,pos,team,ecr,sd,bye,age,gsis_id,proj_ppg,exp_games,proj_pts,proj_sd,ratio,ratio_raw,raw_games,market_std_pts,replacement,vorp,vorp_rank
Kyren Williams,RB,LAR,42.04,6.43,11.0,26.028747433264886,00-0037840,16.84883173480711,15.6,262.8417750629909,83.4098936841201,1.1324847256157407,1.1663714574898785,45.0,232.09299791666666,196.1036845952354,66.73809046775551,33
Houston Texans,DST,HOU,153.67,5.61,8.0,,,11.251041666666666,16.0,180.01666666666665,30.0,,,,,113.56666666666666,66.44999999999999,34
Jeremiyah Love,RB,ARI,40.1,7.87,14.0,21.267624914442163,00-0041027,16.82983478962419,15.6,262.54542271813733,83.3839635178807,1.113193341318489,,,235.84889791666663,196.1036845952354,66.44173812290194,35
Rashee Rice,WR,KC,27.1,10.14,5.0,26.37371663244353,00-0039067,16.8020151569044,15.4,258.75103341632774,72.1663599340443,1.087018389344305,1.0935672514619883,27.0,238.03740208333335,195.337311092439,63.41372232388875,36
Zay Flowers,WR,BAL,29.64,7.73,13.0,25.984941820670773,00-0039064,16.778872497180608,15.4,258.39463645658134,72.12995192699155,1.095886826017393,1.1160497572815533,50.0,235.78587708333333,195.337311092439,63.05732536414234,37
Javonte Williams,RB,DAL,43.43,6.56,14.0,26.36550308008213,00-0036997,16.297964691929547,15.6,254.24824919410094,82.6666576979608,1.1087715729686467,1.1013105707880668,49.0,229.30624791666665,196.1036845952354,58.14456459886554,38
Garrett Wilson,WR,NYJ,30.28,7.2,13.0,26.12457221081451,00-0037740,16.404635800376596,15.4,252.6313913257996,71.54565672368004,1.0874335315571604,1.0934289762663834,41.0,232.31892708333334,195.337311092439,57.2940802333606,39
Colston Loveland,TE,CHI,36.28,11.7,10.0,22.409308692676248,00-0040126,14.338534187403393,14.9,213.64415939231057,54.41200639076775,1.0633709889549425,1.087825560266505,16.0,200.9121572916667,156.53779939513723,57.10635999717334,40
Denver Broncos,DST,DEN,164.44,7.26,10.0,55.92607802874743,,10.630208333333334,16.0,170.08333333333334,30.0,,,,,113.56666666666666,56.51666666666668,41
Travis Etienne Jr.,RB,NO,45.04,6.03,8.0,27.61122518822724,00-0036973,16.187115083703958,15.6,252.51899530578171,82.51929360092458,1.1143415900671167,1.1162790697674418,49.0,226.60824791666664,196.1036845952354,56.41531071054632,42
Ladd McConkey,WR,LAC,33.83,8.24,7.0,24.84599589322382,00-0039915,16.16482313591942,15.4,248.93827629315908,71.17570899840167,1.0892872512877425,1.1001659554291132,32.0,228.53317708333333,195.337311092439,53.60096520072008,43
D'Andre Swift,RB,CHI,52.39,7.81,10.0,27.644079397672822,00-0036275,15.885491077465055,15.6,247.81366080845484,82.12209488913577,1.117992268492855,1.1260896637608966,49.0,221.65954791666667,196.1036845952354,51.70997621321945,44
Brandon Aubrey,K,DAL,185.55,7.32,14.0,31.482546201232037,00-0037692,11.729166666666666,16.0,187.66666666666666,24.0,,,,,136.66666666666666,51.0,45
Jaylen Waddle,WR,DEN,33.99,8.09,10.0,27.78097193702943,00-0036613,15.993206507190651,15.4,246.29538021073603,70.91314481547073,1.092486399929041,1.1074457884643751,45.0,225.44480208333334,195.337311092439,50.95806911829703,46
Tyler Warren,TE,IND,53.36,10.12,13.0,24.28747433264887,00-0040128,13.886426592952466,14.9,206.90775623499175,53.613468253835734,1.0606905995819398,1.0596816976127321,17.0,195.06890729166668,156.53779939513723,50.369956839854524,47
Tetairoa McMillan,WR,CAR,35.88,7.26,5.0,23.42231348391513,00-0040124,15.832819422293754,15.4,243.8254191033238,70.66942619695298,1.086234567416806,1.0925492033739457,17.0,224.46847708333334,195.337311092439,48.488108010884815,48
Bucky Irving,RB,TB,56.3,8.44,10.0,24.04928131416838,00-0039361,15.644846359899699,15.6,244.0596032144353,81.80920627376909,1.119213978806765,1.1331940454426745,27.0,218.06339791666664,196.1036845952354,47.955918619199906,49
Tee Higgins,WR,CIN,36.7,6.79,6.0,27.633127994524298,00-0036410,15.754804795045,15.4,242.623993843693,70.55146457103933,1.0868637509751007,1.0918956765272185,39.0,223.23312708333333,195.337311092439,47.286682751254006,50
Emeka Egbuka,WR,TB,40.74,8.3,10.0,23.89596167008898,00-0040129,15.695808605501673,15.4,241.71545252472578,70.46251628061869,1.0896994828632087,1.1073071027082269,17.0,221.81845208333334,195.337311092439,46.37814143228678,51
Luther Burden III,WR,CHI,46.7,8.12,10.0,22.73511293634497,00-0040735,15.558017956868754,15.4,239.59347653577882,70.25563580072885,1.0940885836620526,1.129007036747459,15.0,218.98910208333334,195.337311092439,44.256165443339825,52
Jayden Daniels,QB,WAS,56.6,16.35,7.0,25.71663244353183,00-0039910,21.75749027279539,15.8,343.7683463101672,103.69047916218014,1.1457753214973805,1.1683684322484578,24.0,300.0312014583333,299.89636725074035,43.87197905942685,53
Los Angeles Rams,DST,LAR,164.96,7.67,11.0,,,9.802083333333334,16.0,156.83333333333334,30.0,,,,,113.56666666666666,43.26666666666668,54
Cam Skattebo,RB,NYG,57.0,8.64,8.0,24.583162217659137,00-0040715,15.323367916574655,15.6,239.04453949856463,81.39684444198899,1.1097291735241979,1.0900548159749412,8.0,215.40799791666666,196.1036845952354,42.94085490332924,55
David Montgomery,RB,HOU,60.31,8.63,8.0,29.24845995893224,00-0035685,15.319792921747196,15.6,238.98876957925626,81.39229529210277,1.119339473961669,1.130135606874329,45.0,213.50874791666664,196.1036845952354,42.885084984020864,56
Ka'imi Fairbairn,K,HOU,192.36,6.93,8.0,32.602327173169066,00-0032726,11.166666666666666,16.0,178.66666666666666,24.0,,,,,136.66666666666666,42.0,57
Terry McLaurin,WR,WAS,47.68,6.1,7.0,30.976043805612598,00-0035659,15.40104267104491,15.4,237.17605713409162,70.02144002948054,1.094904520771254,1.1144907723855093,44.0,216.61802708333335,195.337311092439,41.83874604165263,58
Quinshon Judkins,RB,CLE,60.62,8.49,11.0,22.855578370978783,00-0040784,15.114601954111542,15.6,235.78779048414006,81.13254870570215,1.1253028122263509,1.169316843345112,14.0,209.53274791666666,196.1036845952354,39.68410588890467,59
Davante Adams,WR,LAR,50.83,7.61,11.0,33.700205338809035,00-0031381,15.193408451374417,15.4,233.97849015116603,69.71412674704602,1.086841197608978,1.0914884868421053,45.0,215.28305208333336,195.337311092439,38.64117905872703,60
Harold Fannin Jr.,TE,CLE,76.23,12.06,11.0,22.130047912388772,00-0040663,13.08661492121668,14.9,194.99056232612855,52.23569765065253,1.0608857088671821,1.0616952789699572,16.0,183.79978229166667,156.53779939513723,38.45276293099133,61
Jameson Williams,WR,DET,52.92,9.35,6.0,25.44832306639288,00-0037240,15.115147230156666,15.4,232.77326734441266,69.59902910483561,1.09873366811451,1.1253903200624515,44.0,211.8559520833333,195.337311092439,37.435956251973664,62
Seattle Seahawks,DST,SEA,167.18,5.83,11.0,,,9.398958333333333,16.0,150.38333333333333,30.0,,,,,113.56666666666666,36.81666666666666,63
DJ Moore,WR,BUF,52.35,11.91,7.0,29.39630390143737,00-0034827,15.072830357565785,15.4,232.1215875065131,69.53696295725452,1.0874754725449185,1.0929561698096961,51.0,213.4499520833333,195.337311092439,36.7842764140741,64
Cameron Dicker,K,LAC,194.55,14.61,7.0,26.33538672142368,00-0037224,10.645833333333334,16.0,170.33333333333334,24.0,,,,,136.66666666666666,33.666666666666686,65
Philadelphia Eagles,DST,PHI,175.18,8.83,10.0,,,9.119791666666666,16.0,145.91666666666666,30.0,,,,,113.56666666666666,32.349999999999994,66
Bhayshul Tuten,RB,JAC,65.97,9.9,7.0,23.55920602327173,00-0040719,14.621986632201038,15.6,228.10299146233618,80.5199680400366,1.1042486814923584,1.0733634311512414,15.0,206.56849791666667,196.1036845952354,31.999306867100785,67
Jalen Hurts,QB,PHI,57.19,12.64,10.0,28.082135523613964,00-0036389,21.00248754667955,15.8,331.8393032375369,102.63272531743169,1.1434478252160265,1.1535251798561152,48.0,290.20939645833334,299.89636725074035,31.942935986796556,68
Tucker Kraft,TE,GB,78.75,14.69,11.0,25.83983572895277,00-0038996,12.61864736251033,14.9,188.01784570140393,51.45143848439486,1.0634266035736601,1.08008356545961,35.0,176.80378229166666,156.53779939513723,31.4800463062667,69
Jadarian Price,RB,SEA,67.49,10.42,11.0,22.910335386721425,00-0041512,14.545369385160344,15.6,226.90776240850136,80.42610601616327,1.113193341318489,,,203.83499791666662,196.1036845952354,30.804077813265963,70
Christian Watson,WR,GB,55.73,9.5,11.0,27.32101300479124,00-0038124,14.669040631525577,15.4,225.9032257254939,68.95074513457845,1.0900910662037306,1.1025073746312684,33.0,207.2333520833333,195.337311092439,30.565914633054916,71
