vorp_rank,player,pos,team,ecr,ratio,proj_pts,proj_sd,vorp,replacement,bye,age
150,Jacory Croskey-Merritt,RB,WAS,114.54,1.1266823054342394,181.6006233366704,77.16370778997282,-12.579801156504004,194.18042449317443,7.0,25.40177960301164
151,Jakobi Meyers,WR,JAC,107.87,1.081339537000969,183.90690463055236,65.29653345777432,-13.204071835817132,197.11097646636944,7.0,29.82340862422998
152,Tennessee Titans,DST,TEN,235.78,,99.46666666666664,30.0,-14.100000000000009,113.56666666666666,9.0,
153,Aaron Jones Sr.,RB,MIN,117.76,1.1323056964330342,179.35155842754023,77.01745038741173,-14.828866065634172,194.18042449317443,6.0,31.761806981519506
154,Spencer Shrader,K,IND,267.56,,121.33333333333331,24.0,-15.333333333333329,136.66666666666666,13.0,27.301848049281315
155,Mark Andrews,TE,BAL,133.61,1.057513483526249,141.6994383470056,46.71437481753728,-15.9923440061865,157.6917823531921,13.0,31.000684462696785
156,Makai Lemon,WR,PHI,108.06,1.0842971096214584,180.90131827719696,65.05677329172391,-16.2096581891725,197.11097646636944,10.0,22.261464750171115
157,Trey Smack,K,GB,269.91,,120.0,24.0,-16.666666666666657,136.66666666666666,11.0,23.15400410677618
158,Baker Mayfield,QB,TB,118.46,1.2116559235608926,286.28068516911753,98.84792911640986,-16.81698299869572,303.09766816781325,10.0,31.39767282683093
159,KC Concepcion,WR,CLE,108.19,1.0842971096214584,179.78651988988184,64.96862682959906,-17.32445657648762,197.11097646636944,11.0,21.949349760438057
160,Dallas Cowboys,DST,DAL,247.62,,95.23333333333332,30.0,-18.33333333333333,113.56666666666666,14.0,
161,Kyle Monangai,RB,CHI,120.02,1.1293058574086563,175.74935101235906,76.78642978729766,-18.43107348081537,194.18042449317443,10.0,24.25188227241616
162,Brenton Strange,TE,JAC,160.94,1.058503486365226,138.9709569057323,46.46412367921309,-18.720825447459845,157.6917823531921,7.0,25.69199178644764
